BCL6B
EGR2
KLF10
KLF16
KLF7
KLF9
MAZ
PATZ1
SP2
SP3
WT1
ZBTB1
ZBTB17
ZBTB7A
ZNF263
ZNF34
ZNF341
ZNF692
ZNF770
E2F1
KLF4
KLF9
SP1
ZBTB7B
ZFX



