
MA0462.1,BATF::JUN,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),B-ATF-related factors, Jun-related
MA0462.2,BATF::JUN,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),B-ATF-related factors, Jun-related
MA0462.3,BATF::JUN,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),B-ATF-related factors, Jun-related
MA2324.1,BCL11A,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers
MA0463.2,BCL6,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA0463.3,BCL6,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA0731.1,BCL6B,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA1472.1,BHLHA15,Basic helix-loop-helix factors (bHLH),Tal-related
MA0607.2,BHLHA15,Basic helix-loop-helix factors (bHLH),Tal-related
MA0818.1,BHLHE22,Basic helix-loop-helix factors (bHLH),Tal-related
MA1635.1,BHLHE22,Basic helix-loop-helix factors (bHLH),Tal-related
MA0818.2,BHLHE22,Basic helix-loop-helix factors (bHLH),Tal-related
MA1635.2,BHLHE22,Basic helix-loop-helix factors (bHLH),Tal-related
MA0817.1,BHLHE23,Basic helix-loop-helix factors (bHLH),Tal-related
MA0817.2,BHLHE23,Basic helix-loop-helix factors (bHLH),Tal-related
MA0464.2,BHLHE40,Basic helix-loop-helix factors (bHLH),Hairy-related factors
MA0464.3,BHLHE40,Basic helix-loop-helix factors (bHLH),Hairy-related factors
MA0636.1,BHLHE41,Basic helix-loop-helix factors (bHLH),Hairy-related factors
MA1928.1,BNC2,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers
MA1928.2,BNC2,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers
MA0876.1,BSX,Homeo domain factors,NK
MA0876.2,BSX,Homeo domain factors,NK
MA0591.1,Bach1::Mafk,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),Jun-related, Maf-related
MA0591.2,Bach1::Mafk,Basic leucine zipper factors (bZIP), Basic leucine zipper factors (bZIP),Jun-related, Maf-related
MA0877.1,Barhl1,Homeo domain factors,NK
MA1989.1,Bcl11B,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers
MA1989.2,Bcl11B,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers
MA0463.1,Bcl6,C2H2 zinc finger factors,More than 3 adjacent zinc fingers
MA0607.1,Bhlha15,Basic helix-loop-helix factors (bHLH),Tal-related
MA1472.2,Bhlha15,Basic helix-loop-helix factors (bHLH),Tal-related
MA1472.3,Bhlha15,Basic helix-loop-helix factors (bHLH),Tal-related
MA0464.1,Bhlhe40,Basic helix-loop-helix factors (bHLH),Hairy-related factors
MA0878.1,CDX1,Homeo domain factors,HOX
MA0878.2,CDX1,Homeo domain factors,HOX
MA0878.3,CDX1,Homeo domain factors,HOX
MA0465.1,CDX2,Homeo domain factors,HOX
MA0465.2,CDX2,Homeo domain factors,HOX
MA0465.3,CDX2,Homeo domain factors,HOX
MA1473.1,CDX4,Homeo domain factors,HOX
MA1473.2,CDX4,Homeo domain factors,HOX
MA0102.2,CEBPA,Basic leucine zipper factors (bZIP),CEBP-related
MA0102.3,CEBPA,Basic leucine zipper factors (bZIP),CEBP-related
MA0102.4,CEBPA,Basic leucine zipper factors (bZIP),CEBP-related
MA0102.5,CEBPA,Basic leucine zipper factors (bZIP),CEBP-related
MA0466.1,CEBPB,Basic leucine zipper factors (bZIP),CEBP-related
MA0466.2,CEBPB,Basic leucine zipper factors (bZIP),CEBP-related
MA0466.3,CEBPB,Basic leucine zipper factors (bZIP),CEBP-related
MA0466.4,CEBPB,Basic leucine zipper factors (bZIP),CEBP-related
