,precision_micro,recall_micro,f1_micro,precision_mean,recall_mean,f1_mean,precision_sd,recall_sd,f1_sd,FRIP,N_cells_removed,N_reads_removed,Ncells,Ncells_with_edits,Nedits,Nnonpeakpairs,Npeakpairs,Nreadpairs,sampling_type,seed,value,cell_line,by
SKNSH_c40000,0.9979594925984796,0.9273196113983775,0.9613436378617183,0.9979603754349468,0.9273196113983775,0.9613413349381092,0.00032147533911081673,0.003520758290214209,0.001741009513137208,0.28533333333333327,20714.0,333455446.3333333,40000.0,0.0,0.0,458921649.6666667,183308021.0,642229670.6666666,cells,,40000.0,SKNSH,condition
SKNSH_c40000_s10,0.9980621679658503,0.9261764955690472,0.9607765799576375,0.9980621679658505,0.9261764955690472,0.9607765799576377,,,,0.286,20714.0,333545325.0,40000.0,0.0,0.0,458749364.0,183390428.0,642139792.0,cells,10.0,40000.0,SKNSH,file
SKNSH_c40000_s70,0.9976003269349152,0.9312698826167519,0.9632946112834104,0.9976003269349152,0.931269882616752,0.9632946112834104,,,,0.285,20714.0,334334693.0,40000.0,0.0,0.0,458300250.0,183050174.0,641350424.0,cells,70.0,40000.0,SKNSH,file
SKNSH_c40000_s91,0.9982186314040745,0.9245124560093332,0.9599528135732798,0.9982186314040744,0.9245124560093332,0.9599528135732798,,,,0.285,20714.0,332486321.0,40000.0,0.0,0.0,459715335.0,183483461.0,643198796.0,cells,91.0,40000.0,SKNSH,file
SKNSH_c5000,0.44955051451278344,0.9999010988209787,0.6202429240159281,0.44997434176929646,0.9999010988209788,0.6205225983115553,0.016746659457608608,3.130828098499162e-05,0.016018657170832385,0.2856666666666667,55714.0,895783243.3333334,5000.0,0.0,0.0,57062846.0,22839027.666666668,79901873.66666667,cells,,5000.0,SKNSH,condition
SKNSH_c50000,0.9959977624856137,0.9666413282698202,0.981099994000715,0.9959994825096077,0.9666413282698203,0.9810985153878962,0.0006943270794665688,0.0029704886203883465,0.0012025208267053024,0.285,10714.0,171291312.0,50000.0,0.0,0.0,574826960.6666666,229566844.33333334,804393805.0,cells,,50000.0,SKNSH,condition
SKNSH_c50000_s23,0.9967720637862066,0.9632235326667896,0.9797106792293159,0.9967720637862066,0.9632235326667896,0.979710679229316,,,,0.285,10714.0,171347455.0,50000.0,0.0,0.0,574699693.0,229637969.0,804337662.0,cells,23.0,50000.0,SKNSH,file
SKNSH_c50000_s79,0.9957987416532186,0.968099611714634,0.9817538402506433,0.9957987416532186,0.968099611714634,0.9817538402506432,,,,0.285,10714.0,170069654.0,50000.0,0.0,0.0,575746463.0,229869000.0,805615463.0,cells,79.0,50000.0,SKNSH,file
SKNSH_c50000_s80,0.9954276420893975,0.9686008404280371,0.9818310266837292,0.9954276420893976,0.9686008404280372,0.9818310266837292,,,,0.285,10714.0,172456827.0,50000.0,0.0,0.0,574034726.0,229193564.0,803228290.0,cells,80.0,50000.0,SKNSH,file
SKNSH_c5000_s13,0.4566418696131241,0.9998914880314423,0.6269575854318984,0.4566418696131241,0.9998914880314425,0.6269575854318984,,,,0.286,55714.0,896017335.0,5000.0,0.0,0.0,56877014.0,22790768.0,79667782.0,cells,13.0,5000.0,SKNSH,file
SKNSH_c5000_s15,0.46236026796290175,0.9998757225490995,0.6323231133786094,0.4623602679629017,0.9998757225490996,0.6323231133786094,,,,0.285,55714.0,894842211.0,5000.0,0.0,0.0,57770639.0,23072267.0,80842906.0,cells,15.0,5000.0,SKNSH,file
SKNSH_c5000_s35,0.43092088773186354,0.999936085882394,0.6022870961241581,0.4309208877318635,0.999936085882394,0.6022870961241581,,,,0.286,55714.0,896490184.0,5000.0,0.0,0.0,56540885.0,22654048.0,79194933.0,cells,35.0,5000.0,SKNSH,file
SKNSH_c7500,0.9702991752273717,0.8697919344549835,0.9173006621033875,0.9706456054685103,0.8697919344549835,0.9171733112071706,0.0119830723638217,0.026771530204199676,0.009328787999229187,0.2856666666666667,53214.0,854593008.6666666,7500.0,0.0,0.0,86505279.66666667,34586828.666666664,121092108.33333333,cells,,7500.0,SKNSH,condition
SKNSH_c7500_s15,0.9767305070165733,0.8577852650404832,0.9134018356188645,0.9767305070165732,0.8577852650404832,0.9134018356188645,,,,0.286,53214.0,854479196.0,7500.0,0.0,0.0,86577967.0,34627954.0,121205921.0,cells,15.0,7500.0,SKNSH,file
SKNSH_c7500_s90,0.9783653339876973,0.8511255560173153,0.9103207273976246,0.9783653339876972,0.8511255560173153,0.9103207273976246,,,,0.286,53214.0,855471732.0,7500.0,0.0,0.0,85838674.0,34374711.0,120213385.0,cells,90.0,7500.0,SKNSH,file
SKNSH_c7500_s95,0.9568409754012607,0.9004649823071519,0.9277973706050225,0.9568409754012608,0.9004649823071519,0.9277973706050224,,,,0.285,53214.0,853828098.0,7500.0,0.0,0.0,87099198.0,34757821.0,121857019.0,cells,95.0,7500.0,SKNSH,file
SKNSH_f005,0.4337846340456382,0.8979644726512438,0.5849798407165941,0.43378760242592346,0.8979644726512438,0.5849812096693932,0.0011303201474224713,0.0012102609203013186,0.0007768476605046956,0.05000000000000001,0.0,241754891.0,60714.0,60713.666666666664,241754891.0,697233715.0,36696511.0,733930226.0,frip,,0.05,SKNSH,condition
SKNSH_f005_s4,0.43249998189831607,0.8992848436334011,0.5840893680968182,0.432499981898316,0.8992848436334011,0.5840893680968182,,,,0.05,0.0,241754891.0,60714.0,60714.0,241754891.0,697233715.0,36696511.0,733930226.0,frip,4.0,0.05,SKNSH,file
SKNSH_f005_s56,0.4342466191066891,0.8977007677363806,0.5853437263508541,0.4342466191066891,0.8977007677363806,0.5853437263508541,,,,0.05,0.0,241754891.0,60714.0,60714.0,241754891.0,697233715.0,36696511.0,733930226.0,frip,56.0,0.05,SKNSH,file
SKNSH_f005_s86,0.43461620627276537,0.8969078065839495,0.5855105345605072,0.4346162062727653,0.8969078065839495,0.5855105345605072,,,,0.05,0.0,241754891.0,60714.0,60713.0,241754891.0,697233715.0,36696511.0,733930226.0,frip,86.0,0.05,SKNSH,file
SKNSH_f01,0.7205512937600219,0.8364412638254521,0.7741833213876632,0.7206511722944331,0.8364412638254523,0.7741894976348579,0.007525973246702346,0.008016237495581276,0.0008737816435018355,0.10000000000000002,0.0,200980989.0,60714.0,60714.0,200980989.0,697233715.0,77470413.0,774704128.0,frip,,0.1,SKNSH,condition
SKNSH_f01_s10,0.7293009869409639,0.8272071888326982,0.7751748800426125,0.7293009869409639,0.8272071888326982,0.7751748800426125,,,,0.1,0.0,200980989.0,60714.0,60714.0,200980989.0,697233715.0,77470413.0,774704128.0,frip,10.0,0.1,SKNSH,file
