file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
MCF7-cellFilt_PWM.qsub.sh.o1516186, 00:37:53, 32143.34101, 12.77125, 42.179G, 43.941G, 1, 2435, 19253200
K562-cellFilt_PWM.qsub.sh.o1516185, 01:08:01, 78229.77430, 17.35846, 52.088G, 53.422G, 1, 4218, 25444953
SKNSH-cellFilt_PWM.qsub.sh.o1516187, 00:44:35, 42655.86119, 15.34079, 3.547M, 48.520G, 1, 2828, 22663178
GM12878-cellFilt_PWM.qsub.sh.o1516183, 00:56:09, 59168.15946, 17.11201, 50.176G, 50.176G, 1, 3547, 26472749
HEPG2-cellFilt_PWM.qsub.sh.o1516184, 00:46:07, 43438.73628, 15.22689, 46.068G, 47.531G, 1, 2912, 22774684
HEPG2-cellFilt_PRINT.qsub.sh.o1755380, 102:12:55, 12137895.21578, 5834.26889, 4.953M, 648.191G, 15, 56830, 4778324652
GM12878-cellFilt_PRINT.qsub.sh.o1755379, 111:51:41, 11971280.02297, 6511.11991, 6.469M, 630.179G, 15, 66538, 5158823818
K562-cellFilt_PRINT.qsub.sh.o1755381, 144:19:32, 22958291.92107, 6663.16667, 5.602M, 850.814G, 15, 84157, 7581068768
MCF7-cellFilt_PRINT.qsub.sh.o1755382, 88:53:54, 9113478.77720, 3420.55114, 32.182G, 600.744G, 15, 50547, 4978017112
SKNSH-cellFilt_PRINT.qsub.sh.o1755383, 126:48:01, 24733046.03665, 3941.95575, 123.545G, 1.025T, 15, 83171, 7491212347
HEPG2-cellFilt_TOBIAS.qsub.sh.o1379340, 00:23:40, 366.22451, 164.41685, 11.461M, 4.484G, 8, 332, 136455
MCF7-cellFilt_TOBIAS.qsub.sh.o1379342, 00:19:00, 273.94683, 50.39070, 4.180G, 4.180G, 8, 353, 155877
K562-cellFilt_TOBIAS.qsub.sh.o1379341, 00:26:11, 430.14663, 59.96349, 4.772G, 5.208G, 8, 394, 175254
SKNSH-cellFilt_TOBIAS.qsub.sh.o1379343, 00:29:02, 450.25252, 173.10634, 5.488M, 4.528G, 8, 357, 158030
GM12878-cellFilt_TOBIAS.qsub.sh.o1379339, 00:29:27, 471.62252, 59.02623, 4.766G, 4.972G, 8, 446, 183975
SKNSH-cellFilt_HINT.qsub.sh.o1379337, 00:05:58, 428.24640, 1.97036, 1.209G, 1.209G, 1, 1751, 12929
MCF7-cellFilt_HINT.qsub.sh.o1379336, 00:04:32, 296.79514, 2.24252, 1.107G, 1.107G, 1, 1094, 8555
GM12878-cellFilt_HINT.qsub.sh.o1379333, 00:06:56, 619.89186, 2.28336, 1.510G, 1.510G, 1, 1937, 15122
HEPG2-cellFilt_HINT.qsub.sh.o1379334, 00:06:07, 465.42043, 2.11793, 1.285G, 1.285G, 1, 2020, 17311
K562-cellFilt_HINT.qsub.sh.o1379335, 00:08:11, 617.37170, 1.97520, 1.269G, 1.301G, 1, 1538, 10741
K562-cellFilt_PWM.qsub.sh.o792864, 02:55:03, 638822.17280, 44.82425, 169.698G, 177.273G, 1, 10737, 25444953
HEPG2-cellFilt_PWM.qsub.sh.o792863, 03:06:00, 669987.27797, 39.67339, 3.688M, 163.093G, 1, 11312, 22774684
MCF7-cellFilt_PWM.qsub.sh.o792865, 02:28:51, 392147.71085, 34.97106, 116.994G, 127.480G, 1, 9100, 19253200
GM12878-cellFilt_PWM.qsub.sh.o792862, 03:16:04, 635775.25199, 45.59536, 145.936G, 158.365G, 1, 11991, 26472749
SKNSH-cellFilt_PWM.qsub.sh.o792866, 02:48:38, 483647.07266, 40.48514, 120.393G, 125.896G, 1, 10306, 22663178
MCF7_PRINT.qsub.sh.o803628, 249:37:03, 30131009.76232, 10547.18444, 744.000K, 639.531G, 15, 101790, 4978017112
HEPG2_PRINT.qsub.sh.o803626, 303:11:44, 41288701.69670, 12121.34030, 38.814G, 660.955G, 15, 116817, 4778324652
K562_PRINT.qsub.sh.o803627, 414:22:19, 72942643.53326, 20572.19990, 4.180M, 903.030G, 15, 167722, 7581068768
SKNSH_PRINT.qsub.sh.o1759283, 285:48:42, 63255944.07965, 133.66767, 61.869G, 1.025T, 15, 82599, 7491212347
GM12878_PRINT.qsub.sh.o854715, 312:47:37, 41021785.54860, 13506.74296, 35.784G, 673.682G, 15, 129124, 5158823818
K562-cellFilt_TOBIAS.qsub.sh.o792818, 45:39:32, 169830.28781, 4032.80922, 14.340M, 25.281G, 8, 23305, 89597320765
SKNSH-cellFilt_TOBIAS.qsub.sh.o792820, 56:49:11, 195927.60459, 4331.68511, 14.484M, 20.711G, 8, 28836, 101444696074
K562_doover.qsub.sh.o1770111, 01:26:56, 2893.64168, 158.38644, 6.720G, 11.130G, 8, 930, 53472110
HEPG2_doover.qsub.sh.o1770108, 01:04:45, 2042.80911, 146.22034, 5.936G, 10.567G, 8, 796, 53434603
HEPG2-cellFilt_TOBIAS.qsub.sh.o792817, 39:08:36, 130475.20055, 3027.63414, 5.602M, 17.386G, 8, 19905, 67185712323
GM12878-cellFilt_TOBIAS.qsub.sh.o1765450, 43:16:24, 159070.05740, 3535.34037, 5.903G, 19.708G, 8, 21962, 78037039479
MCF7-cellFilt_TOBIAS.qsub.sh.o792819, 33:24:35, 100540.02891, 2533.43377, 3.641M, 15.280G, 8, 17165, 60850140883
MCF7-cellFilt_HINT.qsub.sh.o792809, 11:25:31, 63703.37287, 2660.65949, 1.106G, 2.519G, 1, 42404, 60850140883
HEPG2-cellFilt_HINT.qsub.sh.o792807, 12:03:33, 79638.72837, 3448.98724, 1.285G, 3.019G, 1, 44840, 67185712323
K562-cellFilt_HINT.qsub.sh.o792808, 14:37:33, 101090.13541, 4576.54458, 1.301G, 3.073G, 1, 54355, 89597320765
GM12878-cellFilt_HINT.qsub.sh.o792806, 19:01:26, 147724.84158, 4853.38251, 1.509G, 3.514G, 1, 70125, 78037039479
SKNSH-cellFilt_HINT.qsub.sh.o792810, 17:04:26, 110227.67327, 5152.38603, 1.210G, 2.735G, 1, 63774, 101444696074
K562_c5000_s99_PWM.qsub.sh.o878085, 02:10:27, 274683.00138, 27.43855, 79.669G, 88.976G, 1, 8052, 18523187
HEPG2_c1000_s79_PWM.qsub.sh.o872299, 02:13:36, 343550.29194, 33.95795, 115.689G, 123.726G, 1, 8174, 22776205
GM12878_c2500_s95_PWM.qsub.sh.o1004818, 03:19:26, 767397.57173, 41.91245, 3.543M, 168.104G, 1, 12135, 28019244
K562_c7500_s50_PWM.qsub.sh.o878087, 02:11:17, 306414.91592, 30.64382, 3.676M, 95.876G, 1, 8025, 20574733
HEPG2_c5000_s73_PWM.qsub.sh.o872309, 02:23:39, 331552.45338, 30.77072, 86.562G, 93.420G, 1, 8791, 21046699
SKNSH_c30000_s87_PWM.qsub.sh.o1004843, 02:55:08, 496313.48600, 37.41253, 109.981G, 117.335G, 1, 10711, 25340888
SKNSH_c5000_s35_PWM.qsub.sh.o878114, 01:50:54, 241684.50358, 27.63666, 80.243G, 89.783G, 1, 6758, 18240425
K562_c2500_s58_PWM.qsub.sh.o878075, 01:33:48, 164086.07039, 22.11191, 72.213G, 75.059G, 1, 5772, 14755559
SKNSH_c40000_s10_PWM.qsub.sh.o878106, 02:50:41, 505635.10703, 38.89708, 116.713G, 123.330G, 1, 10403, 26406423
MCF7_c1000_s4_PWM.qsub.sh.o878123, 01:26:36, 121511.79886, 19.94565, 55.917G, 71.211G, 1, 5288, 12712618
MCF7_c5000_s55_PWM.qsub.sh.o878138, 01:35:47, 186437.22970, 26.65986, 81.371G, 87.310G, 1, 5927, 17543327
GM12878_c1000_s48_PWM.qsub.sh.o878043, 01:19:30, 142086.49600, 23.56137, 77.025G, 87.068G, 1, 4924, 15774712
GM12878_c5000_s33_PWM.qsub.sh.o878057, 03:33:02, 962693.14858, 55.59963, 217.389G, 217.391G, 1, 13103, 37410513
MCF7_c10000_s84_PWM.qsub.sh.o878121, 01:37:10, 209609.14377, 29.37381, 91.272G, 91.272G, 1, 5980, 19573229
SKNSH_c2500_s62_PWM.qsub.sh.o878102, 01:56:19, 272112.24085, 27.61705, 94.840G, 99.815G, 1, 7078, 18194457
SKNSH_c20000_s65_PWM.qsub.sh.o878098, 02:38:26, 446490.90324, 36.07145, 109.504G, 127.844G, 1, 9640, 24345737
GM12878_c30000_s63_PWM.qsub.sh.o878054, 03:08:29, 614818.32210, 45.86612, 131.300G, 137.141G, 1, 11531, 32107518
K562_c1000_s7_PWM.qsub.sh.o878070, 01:15:32, 103212.02711, 18.10816, 55.985G, 63.244G, 1, 4664, 11718150
K562_c10000_s76_PWM.qsub.sh.o878067, 01:49:39, 244999.92639, 31.92510, 96.113G, 107.007G, 1, 6732, 21844658
HEPG2_c7500_s41_PWM.qsub.sh.o872310, 02:35:51, 405314.97494, 33.39733, 109.401G, 112.017G, 1, 9504, 22828413
MCF7_c30000_s12_PWM.qsub.sh.o878133, 02:20:12, 393874.82460, 34.31981, 106.074G, 114.832G, 1, 8559, 23047990
SKNSH_c5000_s13_PWM.qsub.sh.o878112, 01:38:42, 213781.47700, 27.50117, 93.547G, 102.478G, 1, 6056, 18296593
SKNSH_c7500_s90_PWM.qsub.sh.o878116, 01:40:00, 216149.65403, 30.31160, 88.100G, 88.100G, 1, 6170, 20042987
MCF7_c2500_s91_PWM.qsub.sh.o878131, 01:46:35, 211385.23081, 23.16685, 76.553G, 86.344G, 1, 6535, 15090901
MCF7_c20000_s6_PWM.qsub.sh.o878127, 02:08:46, 319122.98545, 32.39256, 3.602M, 109.057G, 1, 7849, 21236231
GM12878_c2500_s21_PWM.qsub.sh.o1004817, 03:31:52, 907810.95268, 47.54812, 188.674G, 188.675G, 1, 12900, 31770341
HEPG2_c1000_s81_PWM.qsub.sh.o872300, 02:39:59, 401821.17429, 33.35051, 112.151G, 122.335G, 1, 9756, 22481819
MCF7_c30000_s90_PWM.qsub.sh.o878136, 02:16:34, 329258.97361, 34.40084, 3.680M, 101.701G, 1, 8297, 22945446
SKNSH_c1000_s94_PWM.qsub.sh.o878096, 01:51:10, 229614.63813, 25.80124, 78.913G, 84.683G, 1, 6787, 16913444
GM12878_c10000_s90_PWM.qsub.sh.o1004813, 04:08:22, 1198009.88434, 55.53637, 1.215M, 205.350G, 1, 16607, 38193793
MCF7_c2500_s87_PWM.qsub.sh.o878130, 01:39:12, 190952.19081, 23.79893, 76.960G, 86.995G, 1, 6051, 15544475
GM12878_c7500_s56_PWM.qsub.sh.o1004827, 03:56:07, 1079708.76803, 55.25390, 186.001G, 195.671G, 1, 14372, 37417091
SKNSH_c1000_s78_PWM.qsub.sh.o878095, 01:43:15, 187636.71850, 25.54049, 78.526G, 83.762G, 1, 6332, 16816433
MCF7_c1000_s99_PWM.qsub.sh.o878124, 01:57:48, 245383.46882, 26.41281, 76.975G, 85.992G, 1, 7194, 17184313
K562_c20000_s85_PWM.qsub.sh.o878072, 02:48:15, 482070.85325, 38.76622, 113.021G, 123.471G, 1, 10303, 26637387
MCF7_c10000_s56_PWM.qsub.sh.o878120, 02:06:34, 294010.55505, 28.94670, 80.800G, 93.514G, 1, 7715, 19311672
GM12878_c1000_s44_PWM.qsub.sh.o878042, 01:45:44, 230423.94132, 30.78500, 772.000K, 92.389G, 1, 6524, 20372833
SKNSH_c50000_s80_PWM.qsub.sh.o878111, 02:19:14, 422642.51430, 39.79308, 147.603G, 161.158G, 1, 8537, 27054374
HEPG2_c2500_s5_PWM.qsub.sh.o872306, 02:14:46, 316657.11902, 29.59590, 106.185G, 112.661G, 1, 8228, 19729157
GM12878_c7500_s39_PWM.qsub.sh.o878059, 04:13:17, 1388149.02108, 58.76538, 206.994G, 244.903G, 1, 15478, 39771332
SKNSH_c2500_s15_PWM.qsub.sh.o878100, 01:57:07, 271083.20238, 27.81216, 96.087G, 103.199G, 1, 7141, 18346681
GM12878_c1000_s4_PWM.qsub.sh.o878044, 01:26:08, 137315.09771, 23.45676, 65.789G, 80.770G, 1, 5301, 15354420
SKNSH_c30000_s41_PWM.qsub.sh.o878103, 02:13:24, 373405.47967, 37.37940, 118.974G, 118.975G, 1, 8165, 25354125
HEPG2_c10000_s65_PWM.qsub.sh.o872297, 02:11:25, 328276.91778, 35.51134, 104.693G, 116.509G, 1, 8071, 24756450
K562_c1000_s52_PWM.qsub.sh.o878069, 01:14:55, 104169.99528, 18.52959, 56.596G, 63.938G, 1, 4637, 12262595
GM12878_c30000_s89_PWM.qsub.sh.o878055, 03:09:23, 767531.17543, 46.09530, 171.800G, 176.515G, 1, 11592, 32243237
HEPG2_c5000_s39_PWM.qsub.sh.o872308, 02:04:11, 265410.91232, 30.86217, 95.887G, 95.887G, 1, 7632, 21189476
SKNSH_c10000_s1_PWM.qsub.sh.o878092, 02:10:30, 339394.39186, 31.61138, 111.924G, 119.442G, 1, 8033, 21001725
GM12878_c2500_s80_PWM.qsub.sh.o878051, 03:22:21, 770811.35468, 49.54107, 150.469G, 152.317G, 1, 12402, 33251069
SKNSH_c30000_s46_PWM.qsub.sh.o878104, 02:37:53, 429397.94773, 37.49355, 112.171G, 119.800G, 1, 9590, 25327735
SKNSH_c50000_s79_PWM.qsub.sh.o878110, 02:54:28, 508255.65574, 40.05227, 121.416G, 126.858G, 1, 10634, 27114528
MCF7_c10000_s17_PWM.qsub.sh.o878119, 01:42:20, 221718.71144, 29.12250, 100.193G, 101.180G, 1, 6275, 19468349
K562_c40000_s7_PWM.qsub.sh.o878082, 03:14:55, 626064.91796, 42.66269, 120.485G, 148.575G, 1, 11945, 29000206
K562_c5000_s6_PWM.qsub.sh.o878084, 02:04:50, 272600.09070, 27.78567, 80.147G, 90.048G, 1, 7654, 18398043
MCF7_c7500_s56_PWM.qsub.sh.o878140, 01:43:10, 228850.17663, 28.63162, 96.441G, 104.196G, 1, 6357, 18808036
SKNSH_c20000_s79_PWM.qsub.sh.o878099, 02:36:23, 416587.67473, 36.21550, 3.586M, 114.856G, 1, 9506, 24449130
GM12878_c20000_s9_PWM.qsub.sh.o878049, 03:04:51, 701037.99635, 49.66870, 165.240G, 184.824G, 1, 11331, 33939841
K562_c30000_s90_PWM.qsub.sh.o1004834, 02:59:02, 691000.67630, 41.50966, 157.270G, 169.991G, 1, 10904, 28617997
GM12878_c10000_s14_PWM.qsub.sh.o878039, 03:06:55, 855895.03216, 54.73259, 207.129G, 207.131G, 1, 11534, 37721821
MCF7_c20000_s23_PWM.qsub.sh.o878126, 02:25:27, 371759.41447, 32.34084, 102.931G, 108.059G, 1, 8842, 21556528
K562_c2500_s3_PWM.qsub.sh.o878074, 01:25:03, 152953.00336, 23.07709, 85.326G, 90.755G, 1, 5262, 15213755
K562_c40000_s73_PWM.qsub.sh.o878081, 03:20:14, 677106.30480, 42.87418, 134.406G, 140.718G, 1, 12303, 29581035
K562_c20000_s19_PWM.qsub.sh.o878071, 02:34:00, 430847.80091, 37.12706, 119.228G, 119.228G, 1, 9462, 25629876
K562_c20000_s97_PWM.qsub.sh.o878073, 02:16:33, 363863.03796, 37.29754, 3.633M, 133.147G, 1, 8391, 25618695
HEPG2_c2500_s58_PWM.qsub.sh.o872305, 01:51:48, 232866.29838, 28.47135, 86.213G, 92.503G, 1, 6877, 19423432
SKNSH_c40000_s91_PWM.qsub.sh.o878108, 02:56:30, 529539.96689, 39.09590, 121.799G, 140.371G, 1, 10747, 26467159
MCF7_c2500_s42_PWM.qsub.sh.o878128, 01:39:12, 213760.24008, 23.58042, 95.548G, 95.733G, 1, 6069, 15464067
GM12878_c5000_s18_PWM.qsub.sh.o1004831, 03:33:02, 956452.55588, 50.63058, 168.355G, 188.373G, 1, 13002, 34071268
K562_c10000_s21_PWM.qsub.sh.o878065, 01:51:19, 261900.13532, 32.05383, 108.827G, 108.831G, 1, 6863, 22070175
SKNSH_c7500_s15_PWM.qsub.sh.o878115, 01:41:01, 227405.02015, 30.66867, 3.672M, 99.932G, 1, 6238, 20279458
GM12878_c5000_s48_PWM.qsub.sh.o878058, 02:51:08, 693884.50171, 50.77485, 165.946G, 187.360G, 1, 10507, 34218470
SKNSH_c20000_s36_PWM.qsub.sh.o878097, 02:02:36, 276371.69269, 35.42502, 94.006G, 103.707G, 1, 7576, 24089397
K562_c7500_s44_PWM.qsub.sh.o878086, 02:09:11, 315836.17723, 30.16020, 103.007G, 106.407G, 1, 7912, 20303813
MCF7_c20000_s14_PWM.qsub.sh.o878125, 02:21:38, 373330.37214, 32.37068, 87.121G, 121.404G, 1, 8660, 21627679
SKNSH_c2500_s41_PWM.qsub.sh.o878101, 01:55:42, 265134.86812, 27.18436, 94.236G, 101.209G, 1, 7073, 17993584
K562_c40000_s71_PWM.qsub.sh.o878080, 03:07:02, 619042.43386, 42.67259, 135.075G, 140.383G, 1, 11478, 29482835
HEPG2_c7500_s60_PWM.qsub.sh.o872311, 02:15:32, 310074.08939, 33.62139, 93.179G, 100.038G, 1, 8313, 22983483
HEPG2_c10000_s46_PWM.qsub.sh.o872295, 02:30:12, 371527.49328, 35.85863, 97.034G, 105.511G, 1, 9142, 24922980
GM12878_c7500_s55_PWM.qsub.sh.o1004825, 04:08:37, 1179334.37941, 57.94547, 190.361G, 206.258G, 1, 15144, 39168477
HEPG2_c20000_s92_PWM.qsub.sh.o872303, 02:33:37, 433948.75397, 39.07875, 129.831G, 141.738G, 1, 9476, 27292820
K562_c30000_s85_PWM.qsub.sh.o878078, 03:00:34, 554420.27323, 41.28466, 127.662G, 148.595G, 1, 11053, 28483765
SKNSH_c40000_s70_PWM.qsub.sh.o878107, 02:38:19, 434331.40302, 38.95621, 108.295G, 121.511G, 1, 9628, 26337966
SKNSH_c7500_s95_PWM.qsub.sh.o878117, 02:11:05, 303539.00343, 30.78796, 87.670G, 92.512G, 1, 7999, 20480135
GM12878_c30000_s40_PWM.qsub.sh.o878053, 03:21:59, 785142.10935, 45.44172, 169.465G, 174.103G, 1, 12367, 31710918
MCF7_c7500_s62_PWM.qsub.sh.o878141, 02:15:19, 325665.82104, 28.91489, 3.703M, 100.133G, 1, 8218, 18904637
MCF7_c5000_s92_PWM.qsub.sh.o1004841, 01:55:07, 260313.04703, 26.40241, 93.681G, 97.738G, 1, 7048, 17239088
K562_c2500_s61_PWM.qsub.sh.o878076, 01:17:34, 143607.36251, 22.76604, 87.771G, 92.089G, 1, 4815, 15251160
GM12878_c20000_s50_PWM.qsub.sh.o878046, 03:22:24, 734640.56707, 49.00655, 170.740G, 190.095G, 1, 12401, 34048437
HEPG2_c1000_s42_PWM.qsub.sh.o872298, 02:01:24, 275315.53829, 32.51113, 94.514G, 97.203G, 1, 7481, 21896079
GM12878_c10000_s17_PWM.qsub.sh.o1004811, 04:13:52, 1159543.91547, 55.07678, 174.144G, 203.501G, 1, 15472, 37959575
SKNSH_c50000_s23_PWM.qsub.sh.o878109, 02:45:09, 484778.60883, 40.01101, 3.473M, 123.100G, 1, 10062, 27077486
K562_c1000_s48_PWM.qsub.sh.o878068, 01:12:15, 92773.52220, 17.18743, 54.651G, 54.651G, 1, 4449, 11333554
MCF7_c30000_s84_PWM.qsub.sh.o878134, 02:29:38, 401211.83661, 34.35763, 108.807G, 109.307G, 1, 9118, 22987405
SKNSH_c5000_s15_PWM.qsub.sh.o878113, 01:32:31, 207877.92750, 28.14472, 94.324G, 107.338G, 1, 5735, 18735883
GM12878_c20000_s71_PWM.qsub.sh.o1004814, 03:52:10, 1071760.61212, 48.71334, 3.633M, 190.919G, 1, 14121, 33820351
SKNSH_c1000_s42_PWM.qsub.sh.o878094, 01:25:38, 175349.53122, 25.68580, 87.231G, 95.561G, 1, 5243, 16791928
MCF7_c5000_s3_PWM.qsub.sh.o878137, 01:35:33, 191546.72701, 26.53385, 82.887G, 85.194G, 1, 5864, 17176822
HEPG2_c10000_s5_PWM.qsub.sh.o872296, 02:34:34, 404091.93504, 35.91807, 101.515G, 114.036G, 1, 9454, 24649814
MCF7_c7500_s79_PWM.qsub.sh.o878142, 01:51:46, 246197.66435, 27.44527, 82.956G, 89.022G, 1, 6800, 17967804
HEPG2_c20000_s20_PWM.qsub.sh.o872301, 03:06:26, 535665.69503, 38.85530, 120.324G, 138.071G, 1, 11413, 27098256
K562_c10000_s2_PWM.qsub.sh.o878066, 01:55:29, 271928.38276, 31.93276, 97.336G, 108.556G, 1, 7120, 21650948
HEPG2_c20000_s21_PWM.qsub.sh.o872302, 02:26:23, 373171.55292, 38.79996, 111.524G, 111.525G, 1, 8976, 27094714
MCF7_c1000_s25_PWM.qsub.sh.o878122, 01:46:22, 223903.84655, 26.32733, 80.819G, 86.690G, 1, 6494, 17136396
HEPG2_c7500_s65_PWM.qsub.sh.o872312, 02:43:54, 432695.58605, 34.84996, 3.762M, 114.521G, 1, 10014, 23784664
HEPG2_c2500_s25_PWM.qsub.sh.o872304, 01:59:08, 278001.37920, 30.52452, 103.613G, 105.130G, 1, 7296, 20703338
K562_c7500_s80_PWM.qsub.sh.o878088, 02:06:09, 303501.02077, 30.03425, 103.135G, 106.521G, 1, 7759, 20346917
HEPG2_c5000_s31_PWM.qsub.sh.o872307, 02:34:02, 407957.76080, 33.17214, 107.027G, 118.223G, 1, 9408, 22675958
SKNSH_c10000_s37_PWM.qsub.sh.o878093, 02:28:56, 340584.24626, 31.87820, 91.938G, 92.751G, 1, 9132, 21487508
K562_c5000_s63_PWM.qsub.sh.o878083, 01:44:32, 222784.74537, 24.95623, 3.625M, 92.507G, 1, 6420, 16700422
K562_c30000_s60_PWM.qsub.sh.o878077, 02:59:13, 530237.96219, 41.54402, 124.177G, 131.176G, 1, 10967, 28542979
SKNSH_c10000_s19_PWM.qsub.sh.o878091, 02:11:30, 340225.44734, 31.78493, 102.144G, 106.973G, 1, 8067, 21454819
GM12878_c20000_s50_PRINT.qsub.sh.o838295, 340:07:27, 35513880.25258, 20175.32185, 6.598M, 554.584G, 15, 122928, 3420939105
GM12878_c20000_s9_PRINT.qsub.sh.o838297, 344:23:42, 33806553.66621, 20177.45945, 3.711M, 505.796G, 15, 125997, 3436849597
K562_c30000_s60_PRINT.qsub.sh.o838340, 357:42:40, 44866513.50086, 13693.20754, 34.675G, 635.487G, 15, 145214, 4810366800
SKNSH_c5000_s13_PRINT.qsub.sh.o838391, 273:50:52, 17803452.69628, 11994.48258, 19.360G, 341.238G, 15, 110154, 686473201
HEPG2_c20000_s21_PRINT.qsub.sh.o838317, 272:22:04, 30488471.65851, 12113.51147, 30.781G, 605.723G, 15, 143575, 4015571241
SKNSH_c10000_s1_PRINT.qsub.sh.o838374, 293:17:27, 21235674.94780, 12006.16079, 20.284G, 386.093G, 15, 107201, 1371787721
HEPG2_c10000_s5_PRINT.qsub.sh.o838311, 247:06:43, 20492548.86631, 18074.21991, 6.297M, 452.455G, 15, 135874, 2048916241
MCF7_c7500_s62_PRINT.qsub.sh.o838371, 256:25:14, 15722279.02288, 10488.79008, 16.746G, 328.402G, 15, 85813, 1189322916
K562_c40000_s7_PRINT.qsub.sh.o1759284, 280:13:25, 34661292.72997, 120.07993, 31.421G, 644.299G, 15, 80653, 6349021005
SKNSH_c5000_s35_PRINT.qsub.sh.o838393, 277:00:22, 18019530.86246, 17944.62333, 5.355M, 340.111G, 15, 130307, 681943782
GM12878_c10000_s14_PRINT.qsub.sh.o838289, 336:29:39, 28052959.32485, 13456.63530, 23.519G, 451.364G, 15, 120915, 1757587912
K562_c2500_s61_PRINT.qsub.sh.o838339, 313:51:17, 20906419.07224, 13623.79275, 19.812G, 367.547G, 15, 109871, 415417909
MCF7_c10000_s56_PRINT.qsub.sh.o838353, 244:01:51, 19039979.83149, 10493.06344, 21.217G, 411.950G, 15, 89156, 1580225127
MCF7_c5000_s92_PRINT.qsub.sh.o838369, 219:13:14, 12466256.24394, 10482.15655, 16.786G, 294.815G, 15, 75379, 797328838
SKNSH_c7500_s15_PRINT.qsub.sh.o838394, 267:40:34, 17964856.50535, 17949.21461, 6.461M, 353.689G, 15, 128271, 1038200231
K562_c1000_s48_PRINT.qsub.sh.o838331, 303:06:01, 20011200.25162, 13618.96813, 19.771G, 352.180G, 15, 108041, 152590212
GM12878_c2500_s80_PRINT.qsub.sh.o838299, 346:13:35, 24693295.77496, 20094.33905, 6.359M, 373.090G, 15, 116880, 461172504
K562_c20000_s19_PRINT.qsub.sh.o838334, 329:00:17, 37284499.80955, 13669.58551, 2.941M, 590.833G, 15, 116944, 3263742513
SKNSH_c1000_s42_PRINT.qsub.sh.o838376, 267:58:01, 15654277.34862, 11984.64565, 18.055G, 314.451G, 15, 96581, 136586075
GM12878_c7500_s39_PRINT.qsub.sh.o838307, 310:42:53, 23667825.52679, 13448.02781, 22.030G, 395.983G, 15, 157810, 1345616466
GM12878_c30000_s40_PRINT.qsub.sh.o838301, 315:06:50, 40072112.43906, 20219.87492, 6.449M, 693.310G, 15, 153319, 5120756359
K562_c20000_s85_PRINT.qsub.sh.o838335, 331:53:49, 35762128.12138, 13669.13002, 28.837G, 557.319G, 15, 119989, 3249208540
GM12878_c1000_s44_PRINT.qsub.sh.o838292, 299:04:03, 20067162.82326, 20084.34556, 4.844M, 351.375G, 15, 105517, 166224100
SKNSH_c30000_s41_PRINT.qsub.sh.o838385, 327:55:22, 38539011.70497, 18030.12629, 5.246M, 609.867G, 15, 123056, 4006588428
SKNSH_c2500_s15_PRINT.qsub.sh.o838382, 299:09:54, 18131778.12292, 11990.22076, 17.626G, 319.171G, 15, 107884, 347150088
SKNSH_c7500_s95_PRINT.qsub.sh.o838396, 273:02:46, 18463225.55793, 17951.46476, 4.672M, 361.749G, 15, 130434, 1042135418
HEPG2_c2500_s25_PRINT.qsub.sh.o838319, 278:08:34, 16846006.87632, 18039.51436, 3.883M, 314.951G, 15, 141119, 521568890
HEPG2_c7500_s65_PRINT.qsub.sh.o1694210, 293:26:30, 20837326.32671, 17992.49751, 6.418M, 360.138G, 15, 107607, 1525670150
SKNSH_c20000_s65_PRINT.qsub.sh.o838380, 281:07:37, 23866077.71793, 17997.78512, 5.488M, 446.677G, 15, 105814, 2706863646
GM12878_c5000_s48_PRINT.qsub.sh.o838306, 308:37:02, 21940053.42928, 20103.42265, 5.227M, 373.249G, 15, 150628, 851715557
GM12878_c2500_s95_PRINT.qsub.sh.o838300, 308:29:16, 20197757.22466, 13434.64194, 19.838G, 347.238G, 15, 106293, 427640956
SKNSH_c10000_s37_PRINT.qsub.sh.o838375, 300:16:30, 21212754.63514, 17960.37740, 4.629M, 366.421G, 15, 108972, 1379559482
SKNSH_c1000_s94_PRINT.qsub.sh.o838378, 274:43:23, 15974066.05198, 17927.84593, 5.594M, 311.616G, 15, 92507, 136396307
MCF7_c30000_s90_PRINT.qsub.sh.o1772588, 259:47:49, 24659506.39574, 89.63307, 23.024G, 488.008G, 15, 71428, 4630100737
GM12878_c2500_s21_PRINT.qsub.sh.o838298, 328:41:40, 23204885.45104, 20096.81889, 3.965M, 379.518G, 15, 116260, 436810415
SKNSH_c40000_s10_PRINT.qsub.sh.o838388, 263:39:04, 35641771.44112, 18064.36656, 4.500M, 730.189G, 15, 142332, 5289257718
SKNSH_c5000_s15_PRINT.qsub.sh.o838392, 290:20:54, 19427168.50492, 11995.00740, 19.463G, 344.551G, 15, 132281, 695073054
HEPG2_c1000_s42_PRINT.qsub.sh.o838313, 282:28:04, 16969690.61463, 12051.76329, 17.402G, 311.490G, 15, 150844, 196124539
GM12878_c1000_s4_PRINT.qsub.sh.o838294, 329:21:05, 22151043.23052, 13430.42944, 20.227G, 350.259G, 15, 108985, 159642352
HEPG2_c2500_s5_PRINT.qsub.sh.o838321, 248:43:26, 16379085.49207, 12057.97838, 19.615G, 344.934G, 15, 128353, 510871041
SKNSH_c20000_s36_PRINT.qsub.sh.o838379, 288:13:58, 27268610.95205, 12026.66135, 25.624G, 483.229G, 15, 104299, 2684745741
