file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
GM12878_f005_s40_PRINT.qsub.sh.o1368008, 292:32:57, 34511738.77339, 13345.47004, 3.570M, 594.373G, 15, 90365, 3945696071
MCF7_f02_s49_PRINT.qsub.sh.o1205689, 210:46:41, 23532866.64195, 10542.19130, 33.256G, 565.276G, 15, 85719, 4576915616
HEPG2_f035_s15_PRINT.qsub.sh.o1367954, 353:18:36, 41624825.58704, 12120.45908, 32.126G, 598.512G, 15, 142935, 4418671906
MCF7_f01_s31_PRINT.qsub.sh.o1205685, 212:33:26, 26070533.13094, 15768.85076, 5.422M, 658.145G, 15, 85608, 4083258004
MCF7_f06_s78_PRINT.qsub.sh.o1205696, 224:56:27, 19349915.30229, 15728.78620, 6.418M, 448.770G, 15, 97919, 2640290826
K562_f06_s32_PRINT.qsub.sh.o1205676, 398:46:40, 53174044.63999, 13687.15824, 35.884G, 666.366G, 15, 162194, 4191865981
K562_f005_s96_PRINT.qsub.sh.o1205666, 344:05:04, 57751476.73458, 13704.17055, 42.940G, 897.982G, 15, 131866, 5549200287
GM12878_f06_s13_PRINT.qsub.sh.o1205640, 375:22:21, 40511768.50132, 20181.30567, 3.125M, 564.043G, 15, 139372, 3690945072
MCF7_f025_s90_PRINT.qsub.sh.o1367947, 249:23:38, 31437709.44818, 10544.63432, 34.053G, 670.478G, 15, 95611, 4818200695
MCF7_f08_s40_PRINT.qsub.sh.o1205698, 210:03:48, 15846471.95531, 10498.57785, 21.476G, 389.964G, 15, 93304, 1920667567
K562_f02_s33_PRINT.qsub.sh.o1205670, 355:55:54, 68280744.44393, 13726.35423, 54.622G, 983.283G, 15, 143287, 6707533860
HEPG2_f08_s64_PRINT.qsub.sh.o1205662, 234:59:07, 19248682.35458, 12081.66989, 22.895G, 447.211G, 15, 95695, 2008793913
K562_f035_s49_PRINT.qsub.sh.o1367958, 366:35:28, 64977560.78797, 13726.22288, 47.434G, 934.608G, 15, 148406, 6743228473
K562_f02_s53_PRINT.qsub.sh.o1772590, 367:18:07, 47594811.08796, 217.74738, 6.473M, 682.158G, 15, 103186, 6707723416
SKNSH_f035_s84_PRINT.qsub.sh.o1367964, 267:17:52, 49863197.21733, 12095.51054, 49.295G, 987.473G, 15, 112950, 6854407659
K562_f02_s53_PRINT.qsub.sh.o1368011, , , ,
K562_f04_s28_PRINT.qsub.sh.o1205673, 384:13:34, 61492631.39905, 13715.83378, 42.945G, 831.244G, 15, 147913, 6041011979
HEPG2_f04_s36_PRINT.qsub.sh.o1205656, 313:39:19, 36693728.31745, 18129.48379, 4.488M, 606.996G, 15, 122881, 4009113359
MCF7_f035_s26_PRINT.qsub.sh.o1367960, 250:19:41, 29724744.07250, 10538.00677, 32.801G, 619.777G, 15, 100119, 4308414508
MCF7_f005_s39_PRINT.qsub.sh.o1205683, 225:44:45, 23236208.22249, 10528.07670, 3.730M, 523.332G, 15, 87349, 3837226091
HEPG2_f02_s88_PRINT.qsub.sh.o1205654, 281:59:16, 33493370.88690, 12122.79131, 31.666G, 605.521G, 15, 110007, 4619294173
GM12878_f04_s52_PRINT.qsub.sh.o1205639, 346:03:47, 43948856.97301, 13508.61384, 34.734G, 680.490G, 15, 136862, 5008464346
K562_f04_s6_PRINT.qsub.sh.o1205674, 384:52:44, 61729158.06861, 13715.66769, 42.292G, 840.847G, 15, 150761, 6040855775
GM12878_f035_s83_PRINT.qsub.sh.o1367952, 321:02:06, 41382165.50781, 13510.28685, 34.924G, 694.897G, 15, 140494, 5124027096
SKNSH_f035_s44_PRINT.qsub.sh.o1367963, 314:59:36, 53801450.92695, 12094.38747, 44.260G, 905.817G, 15, 123869, 6853387687
MCF7_f02_s27_PRINT.qsub.sh.o1205688, 206:33:52, 23468747.47789, 10541.25958, 33.943G, 577.273G, 15, 86805, 4576669307
MCF7_f04_s17_PRINT.qsub.sh.o1205691, 217:11:57, 24687206.70803, 10529.86916, 30.833G, 600.611G, 15, 91484, 3863053108
HEPG2_f025_s9_PRINT.qsub.sh.o1367941, 272:30:18, 33955684.33430, 12125.44073, 34.458G, 662.554G, 15, 104665, 4842424228
SKNSH_f01_s29_PRINT.qsub.sh.o1205705, 285:41:52, 49927268.58859, 12089.23553, 45.616G, 918.870G, 15, 150377, 6597606378
SKNSH_f02_s88_PRINT.qsub.sh.o1205708, 307:26:31, 54328417.25327, 12101.20113, 47.569G, 901.984G, 15, 157186, 7334613584
SKNSH_f08_s49_PRINT.qsub.sh.o1205714, 249:55:56, 23764389.02610, 18004.14845, 6.496M, 522.975G, 15, 130855, 2971402936
K562_f035_s18_PRINT.qsub.sh.o1367957, 334:42:32, 59756124.95943, 13725.37686, 46.068G, 945.063G, 15, 144809, 6743306380
SKNSH_f005_s56_PRINT.qsub.sh.o1205701, 292:57:15, 49029592.30820, 18089.19625, 4.430M, 875.472G, 15, 150869, 6211489573
SKNSH_f04_s92_PRINT.qsub.sh.o1205711, 289:40:09, 50782355.33840, 12082.89706, 46.871G, 910.938G, 15, 149622, 6151151885
HEPG2_f06_s42_PRINT.qsub.sh.o1205658, 263:32:45, 26856376.64754, 12094.35405, 26.859G, 535.771G, 15, 100758, 2787759784
SKNSH_f005_s4_PRINT.qsub.sh.o1205700, 288:11:32, 47573217.93522, 12082.35073, 43.593G, 857.067G, 15, 143387, 6211663468
GM12878_f01_s72_PRINT.qsub.sh.o1205633, 391:09:48, 47829659.96227, 13497.47278, 33.633G, 625.511G, 15, 142204, 4295459005
SKNSH_f06_s13_PRINT.qsub.sh.o1721535, 241:36:52, 32158721.98883, 12051.61302, 35.833G, 727.769G, 15, 103380, 4176483563
GM12878_f025_s77_PRINT.qsub.sh.o1367938, 382:46:39, 51346985.26049, 13510.84161, 36.212G, 684.981G, 15, 135703, 5084232100
K562_f08_s66_PRINT.qsub.sh.o1205681, 345:13:28, 38023170.18526, 13667.37182, 30.011G, 578.024G, 15, 128967, 3147330019
K562_f02_s83_PRINT.qsub.sh.o1205672, 436:16:17, 77794789.84437, 20547.07512, 3.762M, 950.585G, 15, 168249, 6707218533
MCF7_f005_s27_PRINT.qsub.sh.o1205682, 249:34:22, 25607239.70884, 15759.22229, 6.348M, 527.345G, 15, 93982, 3837235468
HEPG2_f01_s36_PRINT.qsub.sh.o1205650, 283:10:58, 34856657.86204, 12113.64984, 32.949G, 664.605G, 15, 105695, 4119204536
K562_f025_s4_PRINT.qsub.sh.o1772591, 343:38:53, 46749691.98466, 133.36530, 3.508M, 728.084G, 15, 96686, 7136664146
MCF7_f06_s37_PRINT.qsub.sh.o1205695, 208:56:40, 16887190.66899, 15729.47926, 5.695M, 412.246G, 15, 94763, 2639211334
HEPG2_f08_s22_PRINT.qsub.sh.o1205661, 275:59:30, 22838533.32750, 18076.12927, 6.238M, 436.705G, 15, 101992, 2009781176
SKNSH_f08_s86_PRINT.qsub.sh.o1205716, 250:40:19, 24256235.01812, 12030.52915, 26.743G, 502.583G, 15, 130326, 2970361248
SKNSH_f06_s26_PRINT.qsub.sh.o1721536, 302:25:25, 35105152.86320, 12050.72658, 31.872G, 589.630G, 15, 114624, 4176623441
SKNSH_f01_s26_PRINT.qsub.sh.o1205704, 284:37:24, 53296546.67655, 12088.12492, 49.756G, 978.497G, 15, 142600, 6596463180
SKNSH_f025_s74_PRINT.qsub.sh.o1367950, 296:42:39, 57725596.22259, 18128.69963, 6.504M, 1002.376G, 15, 136506, 7681181086
GM12878_f035_s36_PRINT.qsub.sh.o1763280, 423:02:12, 61405983.11974, 13510.95345, 512.000K, 766.398G, 15, 149359, 5123933105
GM12878_f02_s42_PRINT.qsub.sh.o1205634, 337:18:57, 43027398.30735, 13507.68397, 34.958G, 684.583G, 15, 127593, 4937327594
SKNSH_f04_s61_PRINT.qsub.sh.o1205710, 287:25:51, 50235158.26940, 18087.96728, 6.266M, 905.542G, 15, 150551, 6151388285
SKNSH_f04_s34_PRINT.qsub.sh.o1205709, 260:19:07, 44719655.76867, 12082.83494, 46.860G, 914.076G, 15, 143997, 6152318936
